symbol,time,price,signal,score,pos,stop_loss,take_profit
SFPUSDT,2025-05-29 07:00:00,0.5583,-1,-0.3901301213553795,0.3901301213553795,0.5769115703734303,0.5396884296265697
KNCUSDT,2025-05-29 07:00:00,0.3619,-1,-0.3796149030137724,0.3796149030137724,0.37906427498577994,0.34473572501422006
ROSEUSDT,2025-05-29 07:00:00,0.03377,-1,-0.3781293002644283,0.3781293002644283,0.03622570846007114,0.03131429153992886
ARUSDT,2025-05-29 07:00:00,7.47,-1,-0.35960225643251575,0.35960225643251575,7.944045170023496,6.995954829976504
DUSKUSDT,2025-05-29 07:00:00,0.081,-1,-0.3497277196814428,0.3497277196814428,0.08631961708510155,0.07568038291489845
GRTUSDT,2025-05-29 07:00:00,0.1105,-1,-0.34810547525074664,0.34810547525074664,0.11773794745941549,0.10326205254058451
BAKEUSDT,2025-05-29 07:00:00,0.1362,-1,-0.34559645799820826,0.34559645799820826,0.14547707717952504,0.12692292282047493
SOLUSDT,2025-05-29 08:00:00,171.99,-1,-0.5685144732191018,0.5685144732191018,178.55750845026617,165.42249154973385
RUNEUSDT,2025-05-29 08:00:00,1.894,-1,-0.5361713629395918,0.5361713629395918,2.015529139768083,1.772470860231917
CHRUSDT,2025-05-29 08:00:00,0.097,-1,-0.4655812809417852,0.4655812809417852,0.10308622674345404,0.09091377325654597
SFPUSDT,2025-05-29 08:00:00,0.5565,-1,-0.4350429371587231,0.4350429371587231,0.5738536010610424,0.5391463989389575
TRBUSDT,2025-05-29 08:00:00,58.15,1,0.4177058342783174,0.4177058342783174,51.41750406835645,64.88249593164355
ARUSDT,2025-05-29 08:00:00,7.48,-1,-0.39159494259706173,0.39159494259706173,7.921613372164675,7.038386627835326
GRTUSDT,2025-05-29 08:00:00,0.1103,-1,-0.38894154223074046,0.38894154223074046,0.1170495226408858,0.10355047735911418
BAKEUSDT,2025-05-29 08:00:00,0.1361,-1,-0.38879020903005473,0.38879020903005473,0.1447430002381304,0.1274569997618696
EGLDUSDT,2025-05-29 08:00:00,17.91,-1,-0.38607568391598973,0.38607568391598973,18.807513502398784,17.012486497601216
ROSEUSDT,2025-05-29 08:00:00,0.03362,-1,-0.3401653509889606,0.3401653509889606,0.03590887214149463,0.031331127858505364
RUNEUSDT,2025-05-29 09:00:00,1.911,-1,-0.5335763546403998,0.5335763546403998,2.0351005683395114,1.7868994316604885
SOLUSDT,2025-05-29 09:00:00,173.03,-1,-0.49675452836376766,0.49675452836376766,179.8003655931233,166.2596344068767
TRBUSDT,2025-05-29 09:00:00,61.89,1,0.4917883732064441,0.4917883732064441,54.296882290181465,69.48311770981854
SFPUSDT,2025-05-29 09:00:00,0.5568,-1,-0.4453215969263027,0.4453215969263027,0.5745964582038995,0.5390035417961004
CHRUSDT,2025-05-29 09:00:00,0.0976,-1,-0.38438546224016756,0.38438546224016756,0.10392908388631118,0.09127091611368883
ARUSDT,2025-05-29 09:00:00,7.49,-1,-0.3772076620339715,0.3772076620339715,7.944470515021818,7.035529484978182
ATOMUSDT,2025-05-29 09:00:00,4.822,-1,-0.357115577555412,0.357115577555412,5.048878689006578,4.595121310993422
BAKEUSDT,2025-05-29 09:00:00,0.1367,-1,-0.35418493108357596,0.35418493108357596,0.14557157166670182,0.12782842833329816
GRTUSDT,2025-05-29 09:00:00,0.1109,-1,-0.34995582169196415,0.34995582169196415,0.11786380835517152,0.10393619164482848
GALAUSDT,2025-05-29 09:00:00,0.01961,-1,-0.32270653331710664,0.32270653331710664,0.02092398730574564,0.01829601269425436
SOLUSDT,2025-05-29 10:00:00,172.74,-1,-0.5264929050169651,0.5264929050169651,179.5103655931233,165.9696344068767
TRBUSDT,2025-05-29 10:00:00,62.26,1,0.49797920430616494,0.49797920430616494,54.605244193363575,69.91475580663642
RUNEUSDT,2025-05-29 10:00:00,1.904,-1,-0.49767424658756254,0.49767424658756254,2.0281005683395112,1.7798994316604884
SFPUSDT,2025-05-29 10:00:00,0.5561,-1,-0.46837929232266173,0.46837929232266173,0.5738964582038996,0.5383035417961005
ARUSDT,2025-05-29 10:00:00,7.48,-1,-0.3972514408556408,0.3972514408556408,7.934470515021818,7.025529484978183
GRTUSDT,2025-05-29 10:00:00,0.1101,-1,-0.38391697828105775,0.38391697828105775,0.11706380835517152,0.10313619164482848
CHRUSDT,2025-05-29 10:00:00,0.0975,-1,-0.37703212127138597,0.37703212127138597,0.10382908388631118,0.09117091611368883
AVAXUSDT,2025-05-29 10:00:00,23.52,-1,-0.3638069853271234,0.3638069853271234,24.804416525525976,22.235583474474023
ROSEUSDT,2025-05-29 10:00:00,0.03382,-1,-0.3601791138559677,0.3601791138559677,0.03619744357006607,0.03144255642993394
ENSUSDT,2025-05-29 10:00:00,24.92,1,0.358206911733565,0.358206911733565,23.321638628635185,26.51836137136482
RUNEUSDT,2025-05-29 11:00:00,1.898,-1,-0.5264640329136266,0.5264640329136266,2.0221005683395115,1.7738994316604884
SOLUSDT,2025-05-29 11:00:00,172.54,-1,-0.5226871190920521,0.5226871190920521,179.3103655931233,165.7696344068767
TRBUSDT,2025-05-29 11:00:00,64.7,1,0.5114976959859351,0.5114976959859351,56.75464692549931,72.64535307450069
SFPUSDT,2025-05-29 11:00:00,0.5559,-1,-0.4761960950769727,0.4761960950769727,0.5737964582038995,0.5380035417961004
KNCUSDT,2025-05-29 11:00:00,0.362,-1,-0.3600035891200935,0.3600035891200935,0.37880968391536707,0.3451903160846329
ROSEUSDT,2025-05-29 11:00:00,0.03377,-1,-0.3535481428517705,0.3535481428517705,0.036147443570066065,0.03139255642993394
AVAXUSDT,2025-05-29 11:00:00,23.46,-1,-0.418451393594786,0.418451393594786,24.754416525525976,22.165583474474026
GRTUSDT,2025-05-29 11:00:00,0.1104,-1,-0.40519525253670435,0.40519525253670435,0.11736380835517152,0.10343619164482848
CHRUSDT,2025-05-29 11:00:00,0.0969,-1,-0.4028018698117656,0.4028018698117656,0.10322908388631119,0.09057091611368881
ARUSDT,2025-05-29 11:00:00,7.5,-1,-0.38136676157555927,0.38136676157555927,7.954470515021818,7.045529484978182
GALAUSDT,2025-05-29 11:00:00,0.01948,-1,-0.3650541532705345,0.3650541532705345,0.02079398730574564,0.01816601269425436
FILUSDT,2025-05-29 11:00:00,2.86,-1,-0.34507473127894295,0.34507473127894295,2.9953857694129016,2.724614230587098
DUSKUSDT,2025-05-29 11:00:00,0.0806,-1,-0.3420580703541075,0.3420580703541075,0.08573964443616573,0.07546035556383428
BAKEUSDT,2025-05-29 11:00:00,0.1366,-1,-0.34053267837329093,0.34053267837329093,0.14548585738098754,0.12771414261901246
CHRUSDT,2025-05-29 12:00:00,0.097,-1,-0.6114197802054943,0.6114197802054943,0.1028912921801461,0.0911087078198539
RUNEUSDT,2025-05-29 12:00:00,1.878,-1,-0.550664768527861,0.550664768527861,1.9953790991724034,1.7606209008275964
SOLUSDT,2025-05-29 12:00:00,172.75,-1,-0.5086940331049867,0.5086940331049867,179.06911498953286,166.43088501046714
SFPUSDT,2025-05-29 12:00:00,0.5567,-1,-0.47363407152674253,0.47363407152674253,0.573360996903621,0.540039003096379
TRBUSDT,2025-05-29 12:00:00,62.98,1,0.46718171905921724,0.46718171905921724,55.53645785939221,70.42354214060778
AVAXUSDT,2025-05-29 12:00:00,23.42,-1,-0.42829158747395457,0.42829158747395457,24.627366365539427,22.212633634460577
KNCUSDT,2025-05-29 12:00:00,0.3614,-1,-0.4044702188278153,0.4044702188278153,0.377037563635698,0.345762436364302
GRTUSDT,2025-05-29 12:00:00,0.1105,-1,-0.4004530991625146,0.4004530991625146,0.11698067918694498,0.10401932081305502
BAKEUSDT,2025-05-29 12:00:00,0.1364,-1,-0.3835427709113051,0.3835427709113051,0.144664418588468,0.12813558141153197
DUSKUSDT,2025-05-29 12:00:00,0.0806,-1,-0.34422075727986035,0.34422075727986035,0.0853725269764396,0.07582747302356041
ARUSDT,2025-05-29 12:00:00,7.47,-1,-0.4296848095057082,0.4296848095057082,7.894865478234545,7.045134521765455
SOLUSDT,2025-05-29 13:00:00,172.04,-1,-0.5581966864194161,0.5581966864194161,178.54529133719953,165.53470866280045
