,0
fg_index_d1_y,1774
day_of_week,1104
atr_pct_d1,799
macd_signal_d1,767
hv_7d_d1,735
close_spread_1h_d1,688
cg_market_cap_roc_d1,627
vol_ma_ratio_long_d1,570
ichimoku_cloud_thickness_d1,508
bb_squeeze_d1,422
break_support_d1,360
long_upper_shadow_d1,235
