number,value,datetime_start,datetime_complete,duration,params_lambda_l2,params_lr,params_md,params_nl,state
32,-0.05378057001427774,2025-07-23 23:13:04.218969,2025-07-23 23:13:05.300249,0 days 00:00:01.081280,1.285355883958345,0.03323044607311824,5,109,COMPLETE
33,-0.053843865297751536,2025-07-23 23:13:05.300249,2025-07-23 23:13:06.358225,0 days 00:00:01.057976,1.2354253098104557,0.02679597470895467,5,109,COMPLETE
34,-0.05375578937046412,2025-07-23 23:13:06.358225,2025-07-23 23:13:07.399538,0 days 00:00:01.041313,1.119989786163273,0.032798044057272366,4,121,COMPLETE
35,-0.05380204031562321,2025-07-23 23:13:07.400535,2025-07-23 23:13:08.452174,0 days 00:00:01.051639,1.1584883589103185,0.030806443107985297,4,128,COMPLETE
36,-0.05380884492852506,2025-07-23 23:13:08.452174,2025-07-23 23:13:09.537444,0 days 00:00:01.085270,1.2888883167362544,0.02521169677884123,4,124,COMPLETE
37,-0.053773654275004266,2025-07-23 23:13:09.537444,2025-07-23 23:13:10.553091,0 days 00:00:01.015647,1.131714014157364,0.03306818581786078,4,99,COMPLETE
38,-0.0537524848995346,2025-07-23 23:13:10.554089,2025-07-23 23:13:11.555485,0 days 00:00:01.001396,0.9965293857450774,0.032560204880150385,4,100,COMPLETE
39,-0.05378389783215799,2025-07-23 23:13:11.555485,2025-07-23 23:13:12.552990,0 days 00:00:00.997505,1.0209815658025205,0.02901386690299624,4,100,COMPLETE
40,-0.05377445751154882,2025-07-23 23:13:12.553986,2025-07-23 23:13:13.626168,0 days 00:00:01.072182,1.1593982865089127,0.03240948836547742,4,91,COMPLETE
41,-0.05374781095528029,2025-07-23 23:13:13.626168,2025-07-23 23:13:14.646792,0 days 00:00:01.020624,1.127095523457378,0.03202345973872583,4,95,COMPLETE
42,-0.053753093050279845,2025-07-23 23:13:14.646792,2025-07-23 23:13:15.673333,0 days 00:00:01.026541,1.1304926019148913,0.03255546708700583,4,94,COMPLETE
43,-0.05378899351788387,2025-07-23 23:13:15.673333,2025-07-23 23:13:16.688973,0 days 00:00:01.015640,0.9562565356916192,0.029072200589313014,4,95,COMPLETE
44,-0.05376036342507544,2025-07-23 23:13:16.688973,2025-07-23 23:13:17.720740,0 days 00:00:01.031767,1.0933880940139353,0.03200732448896978,4,94,COMPLETE
45,-0.05386184258586911,2025-07-23 23:13:17.720740,2025-07-23 23:13:18.827623,0 days 00:00:01.106883,1.0571404206552573,0.026448926494104654,5,95,COMPLETE
46,-0.0538021607581544,2025-07-23 23:13:18.827623,2025-07-23 23:13:19.876258,0 days 00:00:01.048635,0.9799559367448822,0.029205388945929518,4,88,COMPLETE
47,-0.05376812266532852,2025-07-23 23:13:19.876258,2025-07-23 23:13:20.910407,0 days 00:00:01.034149,0.7410403454959333,0.03167936627008013,4,94,COMPLETE
48,-0.0538066658382186,2025-07-23 23:13:20.910407,2025-07-23 23:13:21.923520,0 days 00:00:01.013113,0.8788726883740157,0.0366023951355784,5,79,COMPLETE
49,-0.053819026665840375,2025-07-23 23:13:21.923520,2025-07-23 23:13:23.015133,0 days 00:00:01.091613,1.1075016796279387,0.024644957034782845,4,104,COMPLETE
