,0
fg_index_d1_y,1094
day_of_week,678
atr_pct_d1,397
bb_width_chg_d1,389
ema_diff_d1,372
rsi_diff_4h_d1,322
close_spread_1h_d1,315
lower_wick_ratio_d1,308
cg_market_cap_roc_d1,304
rsi_diff_1h_d1,301
vol_ma_ratio_long_d1,290
hv_7d_d1,285
cg_total_volume_roc_d1,268
hv_14d_d1,261
