open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01 00:00:00,0.5006,0.504,0.4959,0.5035,48785413.0,1714535999999,24409023.2087,24643,21001307.0,10509837.3312,0,0.54
2024-05-01 04:00:00,0.5034,0.5046,0.4851,0.4908,125578868.0,1714550399999,62075654.5594,52076,53915516.0,26638351.5626,0,0.54
2024-05-01 08:00:00,0.4908,0.4955,0.4782,0.4942,107255675.0,1714564799999,52155100.5352,52875,49804527.0,24220747.8204,0,0.54
2024-05-01 12:00:00,0.4941,0.4995,0.4924,0.4989,55381276.0,1714579199999,27453127.8464,30020,23567062.0,11682944.8705,0,0.54
2024-05-01 16:00:00,0.499,0.5214,0.4979,0.5106,98527207.0,1714593599999,50277205.787,59057,48670179.0,24841275.8468,0,0.54
2024-05-01 20:00:00,0.5106,0.5192,0.5075,0.5175,42992738.0,1714607999999,22126830.267,26967,20797539.0,10703200.987,0,0.54
2024-05-02 00:00:00,0.5175,0.52,0.5077,0.5108,80825693.0,1714622399999,41531933.4461,35284,34505161.0,17740239.9955,0,0.43
2024-05-02 04:00:00,0.5108,0.5148,0.5067,0.5136,62926694.0,1714636799999,32149264.2706,27241,30759949.0,15715909.7851,0,0.43
2024-05-02 08:00:00,0.5136,0.5185,0.511,0.5175,68133045.0,1714651199999,35061168.4957,28316,34252408.0,17631093.1289,0,0.43
2024-05-02 12:00:00,0.5175,0.5225,0.5128,0.5199,62098304.0,1714665599999,32156245.4614,31392,31298412.0,16208376.2734,0,0.43
2024-05-02 16:00:00,0.5199,0.524,0.5182,0.5231,41587994.0,1714679999999,21656035.407,23629,20978723.0,10925295.0112,0,0.43
2024-05-02 20:00:00,0.5231,0.5245,0.5177,0.518,29030926.0,1714694399999,15134343.6193,17498,13677627.0,7130716.2379,0,0.43
2024-05-03 00:00:00,0.518,0.523,0.5157,0.5222,48641004.0,1714708799999,25285105.6956,20625,25764270.0,13390250.0036,0,0.48
2024-05-03 04:00:00,0.5222,0.5226,0.5172,0.5184,70023741.0,1714723199999,36398587.9167,23644,33107287.0,17207348.4957,0,0.48
2024-05-03 08:00:00,0.5184,0.5267,0.5145,0.5164,86275135.0,1714737599999,44855431.7783,36460,40971603.0,21294220.2795,0,0.48
2024-05-03 12:00:00,0.5163,0.5277,0.5154,0.5267,80829412.0,1714751999999,42262646.3341,44432,43285552.0,22630353.1761,0,0.48
2024-05-03 16:00:00,0.5267,0.5312,0.5251,0.5307,34605771.0,1714766399999,18240151.9268,21497,18441762.0,9722264.2229,0,0.48
2024-05-03 20:00:00,0.5306,0.5367,0.5295,0.5317,43251785.0,1714780799999,23039162.7512,25793,22914985.0,12207370.07,0,0.48
2024-05-04 00:00:00,0.5317,0.5329,0.5272,0.5296,27487420.0,1714795199999,14567722.6194,18428,12341446.0,6541127.6912,0,0.67
2024-05-04 04:00:00,0.5295,0.5312,0.5276,0.5279,19663353.0,1714809599999,10407272.214,14781,9382752.0,4966326.5789,0,0.67
2024-05-04 08:00:00,0.5279,0.5374,0.5278,0.5344,34985836.0,1714823999999,18666538.8216,19890,16957680.0,9045050.7316,0,0.67
2024-05-04 12:00:00,0.5344,0.541,0.5338,0.5359,41175298.0,1714838399999,22094909.9558,25465,18661510.0,10016137.0205,0,0.67
