,0
day_of_week,755
hour_of_day,620
atr_pct_ratio_1h_4h,591
atr_pct_4h,523
rsi_diff_4h_d1,456
hv_7d_4h,425
donchian_delta_4h,397
vol_ratio_4h_d1,356
long_lower_shadow_4h,203
long_upper_shadow_4h,87
