,0
pct_chg1_1h,346
fg_index_d1,332
pct_chg3_1h,211
upper_wick_ratio_4h,146
atr_pct_ratio_1h_4h,123
vol_ratio_4h_d1,114
rsi_diff_1h_4h,108
bear_streak_1h,103
kc_width_pct_chg_d1,100
hv_14d_d1,94
ema_diff_d1,91
vol_roc_1h,89
cg_market_cap_roc_d1,86
ichimoku_cloud_thickness_4h,53
kurtosis_d1,53
