,0
cci_delta_1h,1075
cci_1h,884
fg_index_d1,864
atr_pct_ratio_1h_4h,740
pct_chg3_4h,591
rsi_diff_1h_4h,582
hv_7d_4h,552
vol_ma_ratio_long_1h,490
day_of_week,444
pct_chg1_4h,336
hour_of_day,326
lower_wick_ratio_4h,288
atr_chg_4h,288
macd_hist_diff_1h_d1,271
pct_chg6_4h,269
upper_wick_ratio_4h,268
hv_30d_4h,254
cci_delta_4h,246
skewness_4h,189
rsi_slope_4h,176
bb_width_chg_4h,162
vol_ratio_1h_4h,160
vol_roc_4h,158
volume_cg_ratio_4h,114
funding_rate_anom_d1,101
cg_total_volume_roc_4h,84
cg_market_cap_roc_4h,68
kurtosis_4h,52
long_lower_shadow_4h,46
vol_breakout_4h,19
