,0
long_lower_shadow_4h,404
day_of_week,253
atr_pct_4h,208
pct_chg6_4h,204
hv_7d_4h,163
hour_of_day,151
rsi_diff_4h_d1,138
donchian_delta_4h,137
close_spread_1h_4h,134
vol_ratio_4h_d1,56
