,0
fg_index_d1,2646
hour_of_day,1961
long_lower_shadow_1h,1953
vol_breakout_1h,1877
day_of_week,1608
hv_7d_4h,1456
obv_delta_1h,1343
pct_chg6_4h,1320
atr_pct_ratio_1h_4h,1235
pct_chg1_1h,1167
pct_chg3_1h,1060
cg_total_volume_roc_4h,941
macd_hist_diff_1h_d1,941
pct_chg1_4h,905
bear_streak_1h,890
rsi_diff_1h_4h,884
pct_chg3_4h,838
macd_hist_1h,812
bull_streak_1h,779
cg_market_cap_roc_d1,757
vol_ma_ratio_long_1h,736
hv_14d_d1,680
bb_width_chg_d1,648
skewness_4h,594
cci_delta_4h,576
upper_wick_ratio_4h,564
kc_width_pct_chg_d1,549
bb_width_ratio_1h_4h,536
cg_total_volume_roc_d1,523
cci_delta_1h,517
skewness_1h,513
rsi_slope_4h,496
cci_1h,492
lower_wick_ratio_4h,486
vol_ma_ratio_long_d1,481
vol_ratio_1h_4h,462
kurtosis_1h,461
vol_roc_4h,449
