,0
hour_of_day,3924
fg_index_d1,3381
cci_delta_1h,2361
day_of_week,2124
pct_chg3_1h,2045
pct_chg1_1h,2007
cci_1h,1726
close_spread_1h_4h,1481
bull_streak_1h,1450
atr_pct_ratio_1h_4h,1443
lower_wick_ratio_1h,1346
upper_wick_ratio_1h,1272
hv_7d_1h,1234
pct_chg3_4h,1221
atr_chg_1h,1206
pct_chg6_4h,1170
rsi_slope_4h,1157
bear_streak_1h,1125
pct_chg6_1h,1116
rsi_diff_1h_4h,1104
donchian_perc_d1,1068
bb_width_chg_1h,1013
cg_market_cap_roc_d1,942
vol_ma_ratio_long_1h,938
skewness_1h,911
bb_width_ratio_1h_4h,897
lower_wick_ratio_4h,878
btc_correlation_1h_1h,802
vol_roc_1h,779
macd_hist_1h,742
obv_delta_1h,733
kurtosis_1h,678
hv_14d_d1,646
long_lower_shadow_1h,630
vol_breakout_1h,621
cg_market_cap_roc_1h,610
eth_correlation_1h_1h,603
volume_cg_ratio_1h,593
vol_profile_density_1h,586
cg_total_volume_roc_1h,510
long_upper_shadow_1h,468
