symbol,entry_time,entry_price,exit_time,exit_price,signal,score,position_size,pnl,ret,holding_s
DOGEUSDT,2025-07-09 16:00:00,0.172898115,2025-07-12 10:00:00,0.20217063300000002,-1,-0.20964622511090536,0.0405,-0.0011855369790000011,-0.17030501526867445,237600.0
DOGEUSDT,2025-07-13 05:00:00,0.19899028500000002,2025-07-17 19:00:00,0.2150645,-1,-0.30096626631792744,0.072,-0.0011573434799999982,-0.08177889330124823,396000.0
DOGEUSDT,2025-07-17 19:00:00,0.2150645,2025-07-24 13:00:00,0.236958891,1,0.09245519538691897,0.0002,4.378878200000003e-06,0.10080383559350806,583200.0
DOGSUSDT,2025-07-09 13:00:00,0.00012986103,2025-07-18 19:00:00,0.00015594677,-1,-0.17764658267189348,0.0293,-7.643121819999996e-07,-0.2018742730594389,799200.0
DOGSUSDT,2025-07-18 19:00:00,0.00015594677,2025-07-20 07:00:00,0.00015725281,1,0.09634145862200659,0.0009,1.175435999999994e-09,0.007374908951304303,129600.0
DOGSUSDT,2025-07-20 07:00:00,0.00015725281,2025-07-23 07:00:00,0.00015834749,-1,-0.32449032207516704,0.0801,-8.768386800000056e-08,-0.007961274650672423,259200.0
ENSUSDT,2025-07-09 13:00:00,19.4061764,2025-07-16 20:00:00,27.288184,-1,-0.1546416434427242,0.0216,-0.17025136416000003,-0.407159742008735,630000.0
ENSUSDT,2025-07-16 20:00:00,27.288184,2025-07-20 06:00:00,28.3494926,1,0.09918585684491621,0.0013,0.0013797011800000003,0.03789260641162491,295200.0
ENSUSDT,2025-07-20 06:00:00,28.3494926,2025-07-22 02:00:00,27.8053391,-1,-0.09491685401856276,0.0006,0.0003264921000000001,0.018194470521140833,158400.0
ENSUSDT,2025-07-22 02:00:00,27.8053391,2025-07-24 13:00:00,28.2485229,1,0.10688728992282369,0.0052,0.0023045557599999994,0.01493880219932293,212400.0
API3USDT,2025-07-09 13:00:00,0.63111061,2025-07-22 07:00:00,0.86585968,-1,-0.1766832192391049,0.029,-0.006807723030000001,-0.37296184992041254,1101600.0
